0.00.051.885 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.052.058 W srv  llama_server: -----------------
0.00.052.058 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.052.058 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.052.058 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.052.059 W srv  llama_server: -----------------
0.00.053.207 I srv    load_model: loading model '<external>/Qwen3.8-27B-UD-IQ4_XS.gguf'
0.00.569.927 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.01.565.352 I cmn          init: llama threadpool init, n_threads = 8
0.01.611.910 I common_speculative_init_result: loading draft model '<external>/mtp-Qwen3.8-27B-Q4_0.gguf'
0.01.881.834 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.01.881.836 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.01.881.836 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.01.958.496 I srv    load_model: loaded multimodal model, '<external>/mmproj-Qwen3.8-27B-Q8_0.gguf'
0.01.994.338 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.02.034.485 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.02.034.494 I srv  llama_server: model loaded
0.02.034.495 I srv  llama_server: listening on http://127.0.0.1:32853
0.02.462.083 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.462.239 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.05.716.544 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8211, progress = 0.03, t =   3.21 s / 2560.29 tokens per second
0.06.129.011 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9235, progress = 0.04, t =   3.62 s / 2551.13 tokens per second
0.06.545.303 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10259, progress = 0.04, t =   4.03 s / 2542.70 tokens per second
0.06.969.627 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11283, progress = 0.04, t =   4.46 s / 2530.12 tokens per second
0.07.390.608 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12307, progress = 0.05, t =   4.88 s / 2522.15 tokens per second
0.07.822.770 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13331, progress = 0.05, t =   5.31 s / 2510.27 tokens per second
0.08.252.998 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14355, progress = 0.06, t =   5.74 s / 2500.46 tokens per second
0.08.690.253 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  15379, progress = 0.06, t =   6.18 s / 2489.86 tokens per second
0.09.129.992 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16403, progress = 0.06, t =   6.62 s / 2479.07 tokens per second
0.09.572.963 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  17427, progress = 0.07, t =   7.06 s / 2468.95 tokens per second
0.10.021.022 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18451, progress = 0.07, t =   7.51 s / 2458.13 tokens per second
0.10.471.631 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  19475, progress = 0.07, t =   7.96 s / 2447.99 tokens per second
0.10.929.037 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20499, progress = 0.08, t =   8.41 s / 2436.76 tokens per second
0.11.387.385 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  21523, progress = 0.08, t =   8.87 s / 2426.45 tokens per second
0.11.850.982 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22547, progress = 0.09, t =   9.33 s / 2415.83 tokens per second
0.12.317.274 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  23571, progress = 0.09, t =   9.80 s / 2405.58 tokens per second
0.12.788.911 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24595, progress = 0.09, t =  10.27 s / 2394.86 tokens per second
0.13.263.662 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  25619, progress = 0.10, t =  10.74 s / 2384.55 tokens per second
0.13.743.036 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26643, progress = 0.10, t =  11.22 s / 2373.96 tokens per second
0.14.224.833 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27667, progress = 0.11, t =  11.70 s / 2363.82 tokens per second
0.14.712.250 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28691, progress = 0.11, t =  12.19 s / 2353.37 tokens per second
0.15.202.129 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29715, progress = 0.11, t =  12.68 s / 2343.36 tokens per second
0.15.696.532 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30739, progress = 0.12, t =  13.17 s / 2333.24 tokens per second
0.16.194.106 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31763, progress = 0.12, t =  13.67 s / 2323.30 tokens per second
0.16.697.172 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32787, progress = 0.13, t =  14.17 s / 2313.29 tokens per second
0.17.202.814 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33811, progress = 0.13, t =  14.68 s / 2303.39 tokens per second
0.17.711.688 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34835, progress = 0.13, t =  15.19 s / 2293.64 tokens per second
0.18.224.487 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35859, progress = 0.14, t =  15.70 s / 2284.02 tokens per second
0.18.742.295 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36883, progress = 0.14, t =  16.22 s / 2274.32 tokens per second
0.19.263.545 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37907, progress = 0.15, t =  16.74 s / 2264.73 tokens per second
0.19.788.561 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38931, progress = 0.15, t =  17.26 s / 2255.27 tokens per second
0.20.316.988 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39955, progress = 0.15, t =  17.79 s / 2245.94 tokens per second
